index,respondent_id,date_created,NPS,Comentario,Sucursal,Mes - Año,Clasificacion_NPS
92,114558191066,2024-03-20,1,"El gymnasio siempre esta colapsado hay 10 personas haciendo fila para utilizar una maquina, no hay un cupo limitado de gente esta explotado siempre no podes realizar un ejercicio tranquilo ya que la gente se choca costantemente.",Barrio Norte,03-2024,Detractor
95,118558258034,2024-03-13,5,"Buenas máquinas, Instalaciones bastante cómodas y buenas , buen mantenimiento (limpieza), personal: entrenadores atentos, personal de ingreso atentos, personal de limpieza bueno etc",Almagro,03-2024,Promotor
97,118649904251,2024-07-17,5,Gimnasio muy completo,Microcentro,07-2024,Promotor
98,118653430102,2024-07-22,4,Faltan más entrenadores para la zona de maquinas,Barrio Norte,07-2024,Promotor
101,114558158887,2024-03-20,5,Estoy muy cómoda y el ambiente es agradable.,Barrio Norte,03-2024,Promotor
103,114553614273,2024-03-15,2,"el personal no es muy bueno 0 atencion 0 preocupacion los entrenadores igual la gente no tiene ganas de cumplir su rol en un mes ninguno me brindo alguna ayuda sucursal lomas digo y la de adrogue lo mismo te apagan la musica los ventiladores y la luz faltando 15 minutos el cierre totalmente irrespetuosos , las maquinas estan buenas lastima el personal completo",Lomas,03-2024,Detractor
105,118443560226,2023-10-14,4,Nadie te molesta,Nuñez,10-2023,Promotor
107,114552321917,2024-03-13,5,Muy buen profesor de gimnasia a las 9 hs  Buenos aparatos y equipos.,Caballito 2,03-2024,Promotor
108,114647388237,2024-07-18,5,"Buenos aparatos de pesas.  Muy buena la clase de imnasia de Javier, los lun, mie y viernes 9,15 hs",Caballito 2,07-2024,Promotor
111,118649696640,2024-07-17,5,Excelente lugar y atención ,Nuñez,07-2024,Promotor
112,114556175621,2024-03-18,3,"Esta es la tercera vez que escribo, y no obtuve ninguna respuesta, ni comentario. Busquen (si es que se fijan en los comentarios) que encontraran lo mío. El estado del display de  las cintas, remo, bicicletas, elípticos es malo.La limpieza deja mucho que desear.",Nuñez,03-2024,Pasivo
113,118443945316,2023-10-15,3,La falta de mantenimiento de varias máquinas y en este momento la limpieza. Se está notando la falta del señor que acompañaba a la sra. de la limpieza. Hacían una dupla muy buena y el gym brillaba. Es un predio muy grande para una mujer sola. Yo voy de mañana temprano y dejaban todo reluciente,Nuñez,10-2023,Pasivo
114,118650097891,2024-07-17,3,"Por falta de mantenimiento en varios aparatos. Sectores muy ocupados por profesores particulares con sus alumnos. Pocas bicicletas en cardio, un sólo remo.",Nuñez,07-2024,Pasivo
118,114552975421,2024-03-14,3,En la sede Nuñez las maquinas son un desastre en su inmensa mayoria. No hay aire acondicionado en el gimnasio. ,Nuñez,03-2024,Pasivo
119,118651069942,2024-07-18,3,Por la carencia de mantenimiento de los equipos,Nuñez,07-2024,Pasivo
121,118443429730,2023-10-14,4,La única queja es el estado de los aparatos,Nuñez,10-2023,Promotor
122,114650717674,2024-07-23,4,"Escuche amigos que no me recomendaban el gimnasio, pero la realidad es que esta bastante bien si no sos tan exigente como en mi caso.",Almagro,07-2024,Promotor
124,118440127006,2023-10-10,5,"Completo, prolijo, amable",Nuñez,10-2023,Promotor
125,118653175676,2024-07-22,5,"Todo bien, limpio y organizado",Nuñez,07-2024,Promotor
128,118558287131,2024-03-13,5,"es un lugar muy tranquilo, donde todas la veces que concurro me siento muy còmodo con todo el personal.",Caballito,03-2024,Promotor
129,114432755471,2023-10-09,5,"Hay muchas máquinas, aunque las bici dejan mucho de desear deberian ser reemplazadas.",Caballito,10-2023,Promotor
130,114552914198,2024-03-14,5,"Buenos equipos,salones amplios buenas máquinas buena. Atencion ",Nuñez,03-2024,Promotor
131,118440512573,2023-10-11,4,Me parece recomendable ,Nuñez,10-2023,Promotor
132,114653018883,2024-07-26,2,Maquinaria fuera de servicio por mucho tiempo. Personal maleducado.,Hollywood,07-2024,Detractor
134,114553070322,2024-03-14,3,Falta de mantenimiento Equipos en mal estado Limpieza escasa Vestuarios y baños descuidados,Nuñez,03-2024,Pasivo
135,118649894025,2024-07-17,4,"hay falencias(limpieza, Mantenimiento,Falta de Profesores,etc.), pero, en lineas generales, el ambiente es aceptable.",Nuñez,07-2024,Promotor
140,118558260363,2024-03-13,5,buen ambiente los profesores atentos siempre dispuesto a explicar los ejercicos,Flores,03-2024,Promotor
142,118438913450,2023-10-09,5,"En general buenos profesores ,buena disposición horaria y buenas instalaciones.",Caballito 2,10-2023,Promotor
144,118442660739,2023-10-13,4,Hoy es feriado. Quiero saber si la sucursal de Acoyte abre y a qué hora. Nadie me contestó..  Tengo que presuponer que está cerrado.,Caballito 2,10-2023,Promotor
146,118561426933,2024-03-18,3,Costo elevado / aparatos con falta de mantenimiento/ baños para personas mayores deberían estar en planta baja y no por escaleras. Aire acondicionado en vez de ventiladores.,Flores,03-2024,Pasivo
147,114434308162,2023-10-11,5,Buen lugar para cuidar la salud,Flores,10-2023,Promotor
149,114553255922,2024-03-14,3,"Los elementos quedaron obsoletos,y no se actualizaron",Caballito 2,03-2024,Pasivo
151,114432561704,2023-10-09,4,consideración propia  ,Flores,10-2023,Promotor
153,118438818923,2023-10-09,3,Lo recomendaría pero tiene varios aspectos negativos como lo es la cantidad de gente que hay para el tamaño del gimnasio y la poca cantidad de maquinas que hay,Caballito 2,10-2023,Pasivo
154,114552311375,2024-03-13,5,"Buen salón ,, buenas máquinas y los profes te atienden convenientemente",Abasto,03-2024,Promotor
155,114432384546,2023-10-09,5,Ya he recomendado por estar a gusto ,Abasto,10-2023,Promotor
157,118439699819,2023-10-10,4,"He sido socio de Megatlon desde 1994. El cambio me ha sorprendido en su momento, no obstante el lugar actualmente esta mejorando en cuanto a limpieza",Caballito 2,10-2023,Promotor
158,114648574188,2024-07-20,5,Muy buena atencion,Palermo,07-2024,Promotor
160,118651087982,2024-07-18,5,"Amplio, bien equipado, cómodo para acceder y trabajar ",Nuñez,07-2024,Promotor
161,114552323275,2024-03-13,4,Estoy conforme en gral con el funcionamiento de la sede. Deberia haber mas rapidez en reparacion de las maquinas dañadas7,Nuñez,03-2024,Promotor
162,118443448961,2023-10-14,5,Estoy conforme,Nuñez,10-2023,Promotor
163,118649753362,2024-07-17,5,Estoy conforme,Nuñez,07-2024,Promotor
167,114560603832,2024-03-23,3,No hay mantenimiento riguroso para algunas maquinas,Abasto,03-2024,Pasivo
168,114649760667,2024-07-22,3,Algún profesor no explica,Abasto,07-2024,Pasivo
172,114555854625,2024-03-18,4,"Está todo bastante bien organizado, faltan solo algunas bicicletas y hay cintas de sobra, muchas veces se encuentran máquinas con desperfectos. En este punto vienen mejorando.",Nuñez,03-2024,Promotor
173,118649766880,2024-07-17,4,hay veces que se encuentran varias máquinas - incluye bicicletas y eliptico - con problemas y se demora su reparación. Falta alguna bicicleta y eliptico mas de los que hay.,Nuñez,07-2024,Promotor
174,118438898512,2023-10-09,4,Pobre intervención del personal docente. ,Congreso,10-2023,Promotor
176,114553058899,2024-03-14,3,"deberían bajar el precio para hacerlo mas accesible, aunque sea ofertas de bienvenida o similares, si fuese asiílo podría recomendar felizmente",Barrio Norte,03-2024,Pasivo
179,118561423430,2024-03-18,5,"Me resulta ordenado, limpio y con buena infraestructura.  El instructor Carlos me ayuda en la tarea",Flores,03-2024,Promotor
180,118649851827,2024-07-17,5,"Encuentro una buena organización, adecuada limpieza y me orienta muy bien el Prof. Carlos",Flores,07-2024,Promotor
181,114646250663,2024-07-17,4,Acentuar higiene &  limpieza baños  Distribuir geles alcohol en sectores estratégicos,Cid Campeador,07-2024,Promotor
183,118438886028,2023-10-09,5,Limpio. Amable atención en recepción. Excelentes docentes,Caballito 2,10-2023,Promotor
184,114554749159,2024-03-16,5,Buen ambiente.Voy a Fiter Caballito.Claudio ( el profe) un colaborador eficiente y amable.Tal vez haya que prestarle especialmente el mantenimiento de algunas máquinas.Aunque se ve a la gente de mantenimiento continuamente,Caballito 2,03-2024,Promotor
185,118439242463,2023-10-09,5,"Buen clima.Muy buenas instalaciones.Maquinas en muy buen estado,salvó pocas exvepciones",Caballito 2,10-2023,Promotor
186,114648097229,2024-07-19,5,"El lugar es cómodo, gente amable, profes excelentes,limpio.Lo único que sugiero es retapizar asientos y elementos que contienen algunas maquinas un poco deterioradas ",Caballito 2,07-2024,Promotor
193,118656814008,2024-07-26,5,Buena servicio,Adrogue,07-2024,Promotor
195,114432323521,2023-10-09,4,"muy bueno, muchos lugares  ",Almagro,10-2023,Promotor
198,118443516658,2023-10-14,4,"Si, pero me gustaria que agregen otro banco libre de los que se pueden inclinar y declinar",Nuñez,10-2023,Promotor
199,114648470412,2024-07-20,4,"El Gym es súper completo, pero la realidad que la atención desde que empecé ha sido bastante pésima, siempre que entro o salgo digo buen día y no obtengo un saludo coordial del otro lado. La profesora Denisse también un día tuvo un mal trato conmigo a la hora de ingresar a la clase, efectivamente no fui más a las clases de ella.",Punta Carretas,07-2024,Promotor
200,118427289339,2023-09-25,3,Si ,Punta Carretas,09-2023,Pasivo
201,114646104891,2024-07-17,4,Muy buena atención de los profesores,Almagro,07-2024,Promotor
202,118558310542,2024-03-13,5,"buen precio, clima agradable",Flores,03-2024,Promotor
205,114646329722,2024-07-17,5,"Me gusta el lugar, es agradable.  Los profesores son amables, se interesan en lo que pedís, las clases a las que voy me gustan mucho",Caballito 2,07-2024,Promotor
207,114432499522,2023-10-09,3,Quería apoyar ya que es bueno el gym,Almagro,10-2023,Pasivo
208,114435399609,2023-10-12,4,Buen Atención   Ambiente agradable,Flores,10-2023,Promotor
210,114653918849,2024-07-28,4,"encontré buenos profesores ahora. Al principio, no. Hay que buscarlos. Y la atención de los recepcionistas podría ser mejor",Caballito 2,07-2024,Promotor
212,114434297189,2023-10-11,3,"En ciertos horario hay exceso de gente y los equipos no son suficiente,así como elementos que se estropean o desaparecen, no son repuestos como se debiera.",Abasto,10-2023,Pasivo
214,114434287654,2023-10-11,2,escasísima oferta de clases  equipos de musculación escasos,Abasto,10-2023,Detractor
