index,respondent_id,date_created,NPS,Comentario,Sucursal,Mes - Año,Clasificacion_NPS
8490,118440626963,2023-10-11,5,Me parece muy bueno,Nuñez,10-2023,Promotor
8493,118438853279,2023-10-09,4,Tienen varias sedes y el precio es acorde a los servicios y máquinas que ofrecen.,Caballito 2,10-2023,Promotor
8495,114651602715,2024-07-24,5,"Lo recomiendo por la atención en recepción,en la limpieza sobre todo en las máquinas .",Caballito 2,07-2024,Promotor
8496,118651072002,2024-07-18,5,"El lugar muy limpio,los profe atentos las clases son muy cuidadas ",Congreso,07-2024,Promotor
8499,114554840079,2024-03-16,3,Me gusyaria mas atencion y no tanto auto service,Congreso,03-2024,Pasivo
8501,114432333575,2023-10-09,5,Buen gimnasio,Barrio Norte,10-2023,Promotor
8503,114552280085,2024-03-13,4,Buenas clases y buen aire acondicionado,Barrio Norte,03-2024,Promotor
8505,114552953176,2024-03-14,5,"Porque es un gimnasio limpio, con buenos profes, personal y equipamiento. Solo me quejo que en musculación no anda más el aire acondicionado.  El resto excelente",Lomas,03-2024,Promotor
8506,114432305966,2023-10-09,4,"Me encanta, pero tienen que solucionar el tema de falta de agua ya que no contar con baño (inodoros, ni siquiera digo duchas) es complicado. El exceso de calefacción dificulta entrenar, y la música ambiente no es la apropiada para un gimnasio. Callejeros, Pato Fontanet cantando tango, sui generis... es preferible el silencio. Los profes de musculación son copados. Probé las clases de streching y de abdominales, que estuvieron buenas, pero son muy breves, por eso no fui más. Streching necesita la hora completa, y abdominales 45 minutos. Yoga también necesita ser un poco más larga. Destaco como punto a favor la gran cantidad de mancuernas, barras y discos, y la limpieza que mantienen. Me gustaría que agreguen una barra T y alquna máquina específica para gemelos. Otra cosa me gusta es la cantidad de lockers y los dispenser de agua. ",Lomas,10-2023,Promotor
8507,114646175708,2024-07-17,5,"Porque es un lugar agradable, limpio, con buen trato, variedad de pesos libres y máquinas. Le agregaría algunas máquinas básicas que no hay y deberían comprar una planchita para el pelo nueva que no anda hace unas tres semanas.",Lomas,07-2024,Promotor
8510,114436200375,2023-10-13,4,Es facil la inscripcion y tiene opciones,Abasto,10-2023,Promotor
8511,114436812457,2023-10-14,5,"Buen lugar para ejercitarse, muy ambiente",Flores,10-2023,Promotor
8513,114650552086,2024-07-23,5,"Amplia oferta de horarios y alternativas, amo las clases de ritmos acondicionados Flor en Almagro",Almagro,07-2024,Promotor
8515,114556759778,2024-03-19,5,Estoy conforme con el gimnasio ,Barrio Norte,03-2024,Promotor
8517,114432371363,2023-10-09,3,"El gimnasio está bueno, pero hay demasiada rotación de profesores en las clases. Si vas a hacer musculación sirve. Si vas por clases, maso. Porque te enganchas con una y el profe después deja la sede ",Abasto,10-2023,Pasivo
8518,118444142039,2023-10-16,2,"hay gente que no se sabe si paga que vive en las maquinas y los profesores no dicen nada de correrlos... muchos de los chicos se sientan horas con el celular a pelotudear y vos tenes que hacer lo que podes porque lo ocupan chicos del colegio que seguro NO PAGAN UN ABONO, y otros que van a boludear. ",Nuñez,10-2023,Detractor
8519,114434285183,2023-10-11,3,"Muchas maquinas como las bicicletas, elipticos y cintas no funcionan, falta mantenimiento de los mismos.",Almagro,10-2023,Pasivo
8522,114557994539,2024-03-20,5,"Por la buena energía de la sede nuñez, lo único que faltaría son más maquinas porque va mucha gente a entrenar y tenes que esperar que se desocupe.",Nuñez,03-2024,Promotor
8523,118440078337,2023-10-10,5,Esta bueno,Nuñez,10-2023,Promotor
8524,118655221935,2024-07-24,5,"El lugar, el espacio, la cantidad de maquinas, etc",Nuñez,07-2024,Promotor
8528,118565004365,2024-03-22,5,Buenos salones y profesores ,Flores,03-2024,Promotor
8529,114432398276,2023-10-09,5,"Tiene variedad de maquinas y buenos profesores, está limpio",Flores,10-2023,Promotor
8534,118560440501,2024-03-16,4,Horarios  Maquinas,Flores,03-2024,Promotor
8535,114432606582,2023-10-09,3,Pondría más clases claves pro ejemplo de funcional q se llenan mucho,Flores,10-2023,Pasivo
8536,118651390312,2024-07-19,3,Están muy buenas las clases pero en Flores agregaría más horarios con funcional,Flores,07-2024,Pasivo
8537,118651299099,2024-07-19,5,Tiene todo ,Nuñez,07-2024,Promotor
8539,114652844792,2024-07-26,5,muy buena atención   lindo ambiente para entrenar   excelente profesor ,Hollywood,07-2024,Promotor
8540,114554701422,2024-03-16,3,.,Barrio Norte,03-2024,Pasivo
8541,114433246861,2023-10-10,5,"Máquinas buenas, clases en muchos horarios. Buenos elementos. ",Abasto,10-2023,Promotor
8545,118561201092,2024-03-18,2,Hay maquinas en mal estado en fiter almagro la escalera hace 3 años que no anda ,Almagro,03-2024,Detractor
8546,114435156414,2023-10-12,1,Las caminadora no andan la escalera hay 2 y solo anda una. Mucos socios pocas maquinas y las pocas que hay están rotas ,Almagro,10-2023,Detractor
8550,118561186237,2024-03-18,5,"Cómodo, funcional, buen ambiente, profes copados.",Flores,03-2024,Promotor
8551,118653230679,2024-07-22,5,Buenas clases  Profes con toda la onda ,Flores,07-2024,Promotor
8552,114552295812,2024-03-13,5,Muy buenos aparatos ,Microcentro,03-2024,Promotor
8553,114647427671,2024-07-18,5,Estamos muy conforme,Abasto,07-2024,Promotor
8556,114552728941,2024-03-14,5,"Porque es excelente todo: el servicio de red, como están las sucursales, las máquinas, los accesorios, la limpieza",Abasto,03-2024,Promotor
8557,114432324523,2023-10-09,5,Porque estoy muy conforme con el servicio y la atención brindada,Abasto,10-2023,Promotor
8558,114646158413,2024-07-17,5,"Excelentes ubicaciones, instalaciones y muy buena atención del equipo ",Abasto,07-2024,Promotor
8564,114650558349,2024-07-23,1,"Gimnasio muy impersonal. Las veces que he ido a sala nadie se preocupa de cómo hago ejercicios, hay 1 solo profesor para sala",Punta Carretas,07-2024,Detractor
8566,118558593092,2024-03-14,5,"excelente atención personalizada, muy buenos aparatos, muy buena  relación cuota y ofrecimiento, lindo clima en las clases y los ambientes en general",Almagro,03-2024,Promotor
8567,114433338613,2023-10-10,5,Muy buen trato. Muy buen ambiente. Máquinas en muy buen estado. Zumba con Flor es lo mas,Almagro,10-2023,Promotor
8568,114651602642,2024-07-24,5,"muy buena atención, personal atento, máquinas surtidas y en muy buen estado, clases de zumba GENIALESSSS",Almagro,07-2024,Promotor
8578,114647680051,2024-07-19,4,"Lo recomiendo por la cantidad de sucursales y disponibilidad horaria.   Muy buenas maquinarias aunque podrían mejorar, faltan algunas, ya que en horario pico hay mucha espera. ",Caballito 2,07-2024,Promotor
8580,114646368742,2024-07-17,4,costo/ beneficio cierra bien,Cid Campeador,07-2024,Promotor
8581,118560409531,2024-03-16,2,"Mucha gente entrenando,.da la impresión que venden.mas de lo que pueden ofrecer    Algunas máquinas en mal estado    Las cintas para caminar no cuentan con el.precinto de seguridad y están ubicadas contra la.pared,. ubicación que no es la.adecuada porque en caso de accidente la persona sale.desplazada hacía la pared  O sea las.medidas de seguridad no son las correctas    Y gran tema, tuvo cartel de clausura por semanas en uno de los vidrios de afuera y lo tapaban con un deck ..Al.consultar el.motivo de clausura todos fingían demencia pero tuvo cartel de clausura y no cumplieron la orden.   Y no hay ventilación adecuada para semejante cantidad de gente",Almagro,03-2024,Detractor
8582,114434716062,2023-10-11,1,"Máquinas en mal estado, poniendo en riesgo a.los clientes, demasiada.gente,.de.hecho me.pregunto si no excede la habilitada ",Almagro,10-2023,Detractor
8583,114557849517,2024-03-20,3,Está bastante equipado pero cambiaría un par de cintas (que siempre hay muchas vacías) x algún otro aparato (distinto o uno igual a uno que ya esté). Pero mi principal crítica es que está muy lleno y se hace difícil a veces hacer un trabajo (más allá de que usan las máquinas como sofás),Palermo,03-2024,Pasivo
8584,114650377581,2024-07-23,3,"Está muy bueno, salvo los puntos en contra: demasiada gente y algunas máquinas o elementos (como racks) que no alcanzan.",Palermo,07-2024,Pasivo
8585,118558258693,2024-03-13,4,Es muy buen gimnasio ,Flores,03-2024,Promotor
8586,114432352843,2023-10-09,4,Es cómodo ,Flores,10-2023,Promotor
8589,114434393988,2023-10-11,5,.,Abasto,10-2023,Promotor
8590,114552885954,2024-03-14,4,"Si abrirían los domingos, hubiera puesto el máximo de puntaje ",Lomas,03-2024,Promotor
8591,114556726197,2024-03-19,5,Esta bueno,Cid Campeador,03-2024,Promotor
8592,114646259031,2024-07-17,5,Buen costo/ beneficio,Cid Campeador,07-2024,Promotor
8595,114556214473,2024-03-18,4,Me parece muy bueno. Las máquinas de correr tienen los display rotos. Hay algunos materiales de construcción dando vueltas. Excelente la profesora Melissa di maio. ,Hollywood,03-2024,Promotor
8596,114552279981,2024-03-13,3,"Los aparatos aeróbicos no están en condiciones, el salón de arriba de todo desde hace un año está en reparación.",Hollywood,03-2024,Pasivo
8597,114651591740,2024-07-24,3,"Porque la atención es amable cuando la solicitas pero el estado del gimnasio en general, las máquinas y los salones no es bueno.",Hollywood,07-2024,Pasivo
8602,114432297090,2023-10-09,3,Demasiada gente dependiendo del horario,Almagro,10-2023,Pasivo
8604,114438467582,2023-10-16,3,Considero que una persona sin conocimiento previo no puede asistir dado que no tiene un seguimiento por parte de profesores,Flores,10-2023,Pasivo
8605,114435125116,2023-10-12,4,"El.gral es super recomendable.  Quienes atienden en la recepción son super amables! Lo único que me parece podría verse es: 1) los lockers, están sucios, muchos tienen tierra. El resto del gym está super limpio. 2) la atención de los profesores: la verdad no están atentos a corregirte posturas etc., salvo que le vayas a pedir ayuda y creo que deberían estar más presentes ya que la cuota incluye su atención.  ",Microcentro,10-2023,Promotor
8606,114436182692,2023-10-13,3,"Las instalaciones del gimnasio son muy buenas. La atención de los chicos de entrada es muy amable. La profesora Nancy de clases aeróbicas es excelente. El único tema es que en Adrogué hicieron un cambio de horario de las clases grupales, y están todas las clases pegadas. Se acortaron los tiempos de clase, se pisan las salidas y entradas de grupos y profesores y no se puede limpiar el espacio",Adrogue,10-2023,Pasivo
8607,114552277255,2024-03-13,4,"Tiene una gran variedad de clases y horarios sin embargo hay algunas clases que no tienen profe fija y se da según esa persona, a veces es buena y a veces no y hay días como martes y jueves que hay menos disponibilidad horaria de clases.",Barrio Norte,03-2024,Promotor
8608,114432452292,2023-10-09,4,variedad de clases en horarios amplios,Barrio Norte,10-2023,Promotor
8609,118651072565,2024-07-18,4,"Los elementos de trabajo están muy gastados, algunos repusieron pero colchonetas y pesas para barra todavía no. Muchas están rotas.",Barrio Norte,07-2024,Promotor
8610,114552461069,2024-03-13,4,Me parece una buena opción. Las clases de estiramiento de Yosy son buenísimas ,Cid Campeador,03-2024,Promotor
8614,118649747124,2024-07-17,4,Porque podes entrenar todos los días ,Adrogue,07-2024,Promotor
8616,114434324896,2023-10-11,4,SI POR LAS CLASES DE GYM PERO LA REALIDAD QUE EL CAMBIO DE HORARIOS EN LA GRILLA Y LA RAPIDEZ CON LO CUAL EMPIEZA UNA CALSE DETRAS DE LA OTRA NO ME GUSTA.- ,Adrogue,10-2023,Promotor
8620,114554603541,2024-03-16,5,Por la cantidad de sedes y oferta de clases,Caballito 2,03-2024,Promotor
8621,114433450140,2023-10-10,5,por la cantidad se sucursales que brindan diferentes actividades y horarios y por la calidad de sus profesionales,Almagro,10-2023,Promotor
8622,114554723895,2024-03-16,3,"La sucursal del abasto suele estar siempre sucia en los pisos, sin jabon liquido en los baños.",Abasto,03-2024,Pasivo
8623,114647415759,2024-07-18,3,La sucursal del abasto suele estar sucia. Sucia en musculacion. Sucio el piso donde se realiza la clase de funcional.  No hay jabon ni alcohol en ninguna parte del gimnasio.,Abasto,07-2024,Pasivo
8627,114554714521,2024-03-16,5,Me encantan las clases los profes son excelentes  ,Adrogue,03-2024,Promotor
8628,114559872444,2024-03-22,3,"Lindos baños mal mantenidos, lindas instalaciones mal utilizadas. Poco asesoramiento, una administración deficiente. ",Adrogue,03-2024,Pasivo
8629,114434498802,2023-10-11,5,Instalaciones y actividades,Adrogue,10-2023,Promotor
8636,114434358269,2023-10-11,4,"Entiendo que se requiere una participación mas activa de los profesores en relación al orden y a la forma de utilización de las maquinas, más aún en los horarios pico. ",Lomas,10-2023,Promotor
8637,114432588767,2023-10-09,5,Cómodo y confortable  muy buen ambiente ,Abasto,10-2023,Promotor
8638,114646098415,2024-07-17,4,Buenas maquinas algunas muy usadas y necesitan mantenimiento  y buen ambiente x lo menos en el gymdel abasto ,Abasto,07-2024,Promotor
8643,118442957541,2023-10-13,4,Buen precio ,Caballito 2,10-2023,Promotor
8644,114555859245,2024-03-18,3,"Si bien hice esta encuesta anteriormente quiero dejar registrado que las máquinas caminadoras de fitter caballito muchas de ellas se traban los velocimetros, no andan los dislplays de las mismas, para ver distancias. lo que si me parece grave, hasta inseguro diría es que si subis la velocidad para correr y se traba, no tenes como revertirlo salvo poniendo STOP o parandote en los costados. Funcionan mal y por lo menos desde que yo me anote estan asi (enero 2024)",Caballito 2,03-2024,Pasivo
8646,114553486303,2024-03-14,3,Faltan espejos en el sector funcional ,Cid Campeador,03-2024,Pasivo
8647,118558319525,2024-03-13,5,Lugar limpio. La música está a volumen correcto. Instalaciones perfectas. Uso del aire acondicionado e internet correcto. ,Caballito,03-2024,Promotor
8648,114554726419,2024-03-16,5,"El ambiente, ventilación y equipos",Cid Campeador,03-2024,Promotor
8651,114434643953,2023-10-11,5,Por que es un lugar agradable y los profes muy atentos ,Abasto,10-2023,Promotor
8653,118653080498,2024-07-22,4,Faltan materiales o no alcanzan para la cantidad de personas que somos en las  clases!   Deberían agregar pilates !   Cuando un profe toma vacaciones no consiguen remplazos y suspenden las clases   ,Adrogue,07-2024,Promotor
8654,114432588249,2023-10-09,3,"No alcanzan los materias , suspenden clases cuando los profesores se toman sus merecidas vacaciones , agruparon clases es decir le sacaron tiempo para poner otras   Bajo mucho el nivel del gimnasio ",Adrogue,10-2023,Pasivo
8657,114432573260,2023-10-09,1,Los profes son mala onda  No realizan los mantenimientos a las maquinas.  La.prensa estuvo 2 meses rota.  La chica de recepcion q creo es profe o algp asi se lleva todos.los elementos cuando da sus clases y siempre hay mucha gente  El.novio o lo q sea anda comiendo como si estuviera en su casa..,Abasto,10-2023,Detractor
8659,114432325374,2023-10-09,4,Me parece que esta bien como hacer una rutina de ejercicios.,Almagro,10-2023,Promotor
8662,114436479769,2023-10-13,5,"Me gusta la sucursal del abasto, el lugar amplio para las clases de funcional y los profes son de 10!!",Abasto,10-2023,Promotor
8664,114434280224,2023-10-11,5,Es un lindo ambiente para entrenar tranquilo ,Caballito,10-2023,Promotor
8666,114434311484,2023-10-11,1,Los molilletes al ingreso al gimnasio funcionan mal por otro lado el baño discapacitados no se puede usar siendo yo una persona con dificultad y teniendo el certificado del gobierno de la ciudad no puedo hacer uso del baño de discapacitados porque lo usan como depósito de artículos de limpieza entre ellos hay tres máquinas lustradoras hay bidones de detergente tachos y cuando vas a protestar en recepción te dice que el baño ese no se puede usar está inhabilitado que uno tiene que subir al vestuario en el segundo piso como tengo dificultad para subir escaleras termino yendo al bar de la esquina a hacer mis necesidades esto es una de esto es un motivo para hacer una denuncia en la defensoría al consumidor y publicarlo por los medios de prensa porque no puede ser que el baño discapacitado se le esté usando como reserva de productos de limpieza con máquinas e instrumentos que el equipo de limpieza utiliza cuando el baño está habilitado para personas con discapacidad y yo tengo el certificado de discapacidad,Caballito,10-2023,Detractor
8667,114557870784,2024-03-20,4,Creo que tiene un buen servicio ,Nuñez,03-2024,Promotor
8669,118560439088,2024-03-16,4,"Recomiendo a las prof Norma Font y Debora Leguizamon. Realmente se preocupan mucho en cada clase x sus alumnos.  Lamentablemente he probado varias clases, y otras parece que estuvieras frente a una pantalla.  Las instalaciones bien, los baños bien; El sector funcional Cab1 también.  Voy a las sedes Caballito 1 y 2.-",Caballito,03-2024,Promotor
8671,114436182768,2023-10-13,5,Muy buen lugar y atención ,Flores,10-2023,Promotor
8673,118656413813,2024-07-26,5,-,Barrio Norte,07-2024,Promotor
8677,118565047181,2024-03-22,5,"Todos los meses se llevan una máquina, están vaciando el gimnasio ",Caballito,03-2024,Promotor
8678,114436196790,2023-10-13,1,Sacaron máquinas de la zona de cardio y las que quedan carecen de mantenimiento.,Caballito,10-2023,Detractor
8679,114649374295,2024-07-22,1,Falta de mantenimiento de los aparatos y disminución de la la cantidad de los mismos ,Caballito,07-2024,Detractor
8683,114554768341,2024-03-16,5,Es espectacular todo!!!!,Congreso,03-2024,Promotor
8684,118440981885,2023-10-11,5,Lindo ambiente...excelente equipamiento...los profes un 10!!,Congreso,10-2023,Promotor
8688,114432328322,2023-10-09,4,Me gustan las clases  No me gusta el cambio de horarios q hubo,Adrogue,10-2023,Promotor
8690,114433786826,2023-10-11,5,"Recomendé ,y ahora va mí hermano, me encanta las clases, los profes.",Abasto,10-2023,Promotor
8692,114554701652,2024-03-16,3,"El gimnasio es muy bueno pero, al menos en la sucursal a la que voy, hay demasiada gente para la cantidad de máquinas y hay que esperar mucho para poder usarlas",Cid Campeador,03-2024,Pasivo
8693,114647387493,2024-07-18,3,El gimnasio es muy bueno pero hay demasiada gente para las máquinas disponibles,Cid Campeador,07-2024,Pasivo
8695,114432340854,2023-10-09,4,"Me olvidé unos auriculares y ante mi consulta recibí respuestas como ""no vimos nada, podés venir vos misma a revisar la bicicleta donde los olvidaste"". Luego, la encargada del local dijo que iba a revisar la cámara (a mi pedido) y jamás recibí ningún tipo de respuesta. Eso me causó mucha antipatía y cero ganas de ir. Entiendo que los auriculares los perdí yo pero no me sentí para nada acompañada. Destrato absoluto.",Almagro,10-2023,Promotor
8697,114434562278,2023-10-11,4,Buenas clases . Sábados en mi sede solo hay una . Falta más variedad en horarios más tarde . ,Caballito,10-2023,Promotor
8700,118443877891,2023-10-15,2,"El estado de las maquinas es deplorable, cero mantenimiento y recambio. No hay aire acondicionado, increible en 2023. Gimnasios mas economicos son un lujo al lado de esta sede",Nuñez,10-2023,Detractor
8701,114554724469,2024-03-16,1,Está sobrevenido ,Barrio Norte,03-2024,Detractor
8702,118440081735,2023-10-10,3,Es completo. Pero hay sedes como mansilla con mucha gente,Nuñez,10-2023,Pasivo
8703,118653074021,2024-07-22,3,Está muy lleno y desordenado.  Y no hay profesores libres para consultar,Nuñez,07-2024,Pasivo
8704,118445562576,2023-10-17,5,Es un gimnasio completo y tiene espacio exterior,Nuñez,10-2023,Promotor
8706,114434323013,2023-10-11,3,"Los vestuarios , los horarios y el ambiente ",Flores,10-2023,Pasivo
8708,118561247613,2024-03-18,5,"Máquinas buenas, limpieza, orden ",Caballito,03-2024,Promotor
8709,114650546235,2024-07-23,5,Concurro únicamente a las clases de ritmos y son excelentes! ,Almagro,07-2024,Promotor
8710,114438397655,2023-10-16,5,"Por el lugar, las maquinas, el ambiente y las clases grupales.",Abasto,10-2023,Promotor
8711,114552326588,2024-03-13,5,"El valor de la cuota y la cantidad de máquinas y elementos de entrenamiento. Igualmente quiero aclarar que le falta mucho mantenimiento en las máquinas y limpieza, sobre todo exigir a las personas que usen toallas ya que la mayoría de las personas no usan toallas y la transpiración, queda adherida a los asientos etc. Hay muchas máquinas que están rotas hace bastante tiempo, la correa para calzado en la máquina de remo estuvo más de dos meses rota, la repararon estuvo por un tiempo sana y se volvió a romper. También soy consciente que las personas no son cuidadosas.",Nuñez,03-2024,Promotor
8712,118653287953,2024-07-22,5,El valor de la cuota y la franja horaria ,Nuñez,07-2024,Promotor
8715,118558398695,2024-03-13,3,Las máquinas que se rompían nunca las arreglaban y la atención de los chicos en recepción pésima ,Caballito,03-2024,Pasivo
8717,114553383132,2024-03-14,5,"Me gusta ,tiene buenas maquinas, el lugar muy limpio. ",Congreso,03-2024,Promotor
8718,118438819491,2023-10-09,1,"Esta bien, las clases son buenas en el salón,  lo único extendería como el abasto shopping hasta las 23hs los q trabajamos nos viene genial xq 21hs esta explotado ",Congreso,10-2023,Detractor
8719,114651609173,2024-07-24,5,"Porque me gusta ,es un lindo gym ,tiene buenas máquinas ",Congreso,07-2024,Promotor
8721,114555816326,2024-03-18,4,"Me siento comodo en el gym, y el unico motivo por el cual no pongo un 5 es porque para mi gusto la temperatura del lugar esta un poco alta.",Cid Campeador,03-2024,Promotor
8723,114554941363,2024-03-16,3,"Máquinas que no funcionan, música a un volúmen que no permite que uno pueda escuchar lo que quiera en sus auriculares, falta más higiene, alcohol en gel",Congreso,03-2024,Pasivo
8726,114647392088,2024-07-18,5,"Buen ambiente, siempre limpio, disponibilidad de horarios ",Abasto,07-2024,Promotor
8729,114653664065,2024-07-27,4,"Lo mejor las clases de Camila y Debo en el Cid...lo malo, el piso de arriba, deberia ser de otro material no de alfombra, no permite que tus movimientos sean claros y genera lesiones. En invierno el frio es terrible.",Cid Campeador,07-2024,Promotor
8730,118565040804,2024-03-22,4,"Clases diversas, buenos horarios, la calidad de los profes...Destaco a juli y a ema en cabllito, a estefi ""tutti"" en microcentro y a franco en caballito 2...son lo mas. A veces son medio ratones con el aire acondicionado...el Cid aun no esta en condiciones, el piso para las clases no es el correcto, la alfombra deberian cambiarla por uno simil a la goma eva.",Caballito,03-2024,Promotor
8731,114432767452,2023-10-09,4,Las mayoria de lascintas de correr se mueven o les falta suspension...hay que cambiarlas.,Caballito,10-2023,Promotor
8733,114552317135,2024-03-13,5,Máquinas nuevas material disponible ,Adrogue,03-2024,Promotor
8734,114434319269,2023-10-11,4,"Utilizo mucho la sección cardio y me parece que las máquinas son de un modelo muy bueno para los que nos gusta hacer algo de velocidad o pasadas. La parte negativa es que algunas sufren el normal desgaste del uso y necesitarían algo de mantenimiento (por ejemplo, las pantallas o displays) para poder leer con claridad velocidad, tiempo, etc. De todos modos, entiendo la situación que vive el país.",Flores,10-2023,Promotor
8736,114557904143,2024-03-20,3,Debería cerrar un poco más tarde. Por lo menos hasta las 23hs.,Nuñez,03-2024,Pasivo
8738,118649798822,2024-07-17,5,Buen servicio y atención ,Congreso,07-2024,Promotor
8739,114433078589,2023-10-10,2,"Muy malos los instructores de musculación, no corrigen posturas. Juan el profe de la mañana se la pasa hablando y no atiende a los socios..",Almagro,10-2023,Detractor
8741,118442825641,2023-10-13,2,"El cuidado del cliente es importante sino el factor mas importante y delicado en todo negocio, pero en Fiter por ejemplo los profes solamente prestan atención a sus teléfonos y a tener largas charlas improductivas entre ellos o con clientes que comparten el mismo interes en mirarse al espejo con un nivel de vanidad incomprensible en vez de cuidar las postura y acciones de los clientes en las maquinas o brindar asesoramiento espontáneo. Por otro lado lado el desorden de los elementos es generalizado y es muy fácil ver que mientras hay mucho para hacer los profes están totalmente desconectados de publico, básicamente pareciera que se les paga un sueldo para quedarse sin hacer absolutamente nada para cuidar su empleo. Por otro lado la limpieza en el salon es deficiente, con las colchonetas apiladas sucias y el personal de limpieza descansando en algún rincón. El baño re hombres tiene un olor en la zona de mingitorios sencillamente repugnante que denota  falta de limpieza de al menos semanas sino meses. ",Caballito 2,10-2023,Detractor
8743,114553129532,2024-03-14,5,"las instalaciones son muy buenas, el personal es atento y el ambiente es excelente. IGUALMENTE, me gustaría que hubieran clases desde la apertura a las 7AM, me permitiría maximizar mi tiempo.",Punta Carretas,03-2024,Promotor
8744,114651654900,2024-07-24,5,Abren temprano hay todo las clases están buenas,Punta Carretas,07-2024,Promotor
8749,114552334609,2024-03-13,5,"amo FITER! estoy en la sede del Congreso, tiene un espacio outdoor alucinante. Me gustaría mucho si pudieran sumar más clases de functional a las mañana y que en la clase de las 7:30 AM la profe sea Flor, la que da la clase los días SABADOS!! OJALA!!! O también que vuelva Gise que es la profe que está en musculación,",Congreso,03-2024,Promotor
8750,118649931145,2024-07-17,5,Me encanta el gimnasio. El espacio outdoor es precioso. Y las clases de gym por más de que a veces hay cambios inesperados son muy buenas! El equipo de musculacion está muy bien también. En general los espacios están limpios y todo funciona! Gracias por comprar nuevas mats de yoga!!!!!,Congreso,07-2024,Promotor
8752,118445272985,2023-10-17,3,"Por un lado amo entrenar en el espacio outdoor pero en lo que respecta a las clases faltarian más profes. Hay clases que se suspenden, sin aviso, porque ""no vino la/ el profe"" o directamente porque no hay. Me gustaría que hubiera más hits y clases más seguidas de entrenamiento funcional. Breves y continuas. Por ejemplo cada una hora hay un hit. A la vez, faltan más pesas y elementos para entrenar. Me da pena que tengan que esconder las sogas porque ""se las roban"", bueno, busquemos otra solución, anotarse en una planilla o que pongan más sogas, por dar un ejemplo. El resto todo bien ❤️",Congreso,10-2023,Pasivo
8757,118562275587,2024-03-19,4,"esta bueno, pero caro, y creo que se podrian agregar otras clases más",Caballito,03-2024,Promotor
8760,114647414509,2024-07-18,3,Muy buena la cantidad de locales pero algunas maquinas (almagro) estan viejas y no funcionan,Almagro,07-2024,Pasivo
8761,114555495718,2024-03-18,4,Mucha gente y hay poco espacio para hacer las actividades .   ,Caballito 2,03-2024,Promotor
8762,114557848235,2024-03-20,5,Buen servicio en sucursal microcentro ,Microcentro,03-2024,Promotor
8763,114436821949,2023-10-14,5,"Limpieza, orden, saludable ",Microcentro,10-2023,Promotor
8764,118655078434,2024-07-24,5,"Por ahora un buen servicio, si hay quejas es de algún otro socio que deja las cosas tiradas en toda sucursal. Pero el personal de las sucursales que voy son excelentes( Barrio norte y Microcentro)",Microcentro,07-2024,Promotor
8771,114432296814,2023-10-09,4,"creo que antes de la pandemia había más personal de limpieza, me pasó de  ver el piso del salón de yoga algo sucio. Y me gustaría que en la parte de cardio pongan en las teles algún programa que no sea de deportes, tipo de viajes podría ser.. je",Abasto,10-2023,Promotor
8774,114432355428,2023-10-09,3,Faltaría agregar más horarios de clases grupales  porque hay pocas y se junta mucha gente. ,Microcentro,10-2023,Pasivo
8775,118655575142,2024-07-25,3,"Falta materiales, tobilleras nuevas, yo uso las negras y hay nuevas solo dos pares. También el tema del aire acondicionado en el salón. ",Congreso,07-2024,Pasivo
8776,114554784370,2024-03-16,3,"Faltan materiales y tobilleras están los abrojos rotos, voy a Fiter de congreso. ",Congreso,03-2024,Pasivo
8777,114552273570,2024-03-13,3,No hay muchas ofertas de clases ,Nuñez,03-2024,Pasivo
8779,114436233220,2023-10-13,5,"Esta bueno el gimnasio l, los profesores te corrigen y ayudan",Adrogue,10-2023,Promotor
8780,118649713271,2024-07-17,3,"Empecé en Núñez y los profesores no te corrigen si haces mal algún ejercicio. Se que no es personalizado el servicio, pero fui a otras sucursales, como la de Adrogue. Y los profesores están atentos a lo que hacen los alumnos ",Adrogue,07-2024,Pasivo
8782,118653606977,2024-07-23,5,Me gusta el gimnasio. Las clases de Nancy. La sala de musculación y el sector funcional. ,Adrogue,07-2024,Promotor
8786,114552477724,2024-03-14,5,Muy buen  servicio.  Excelente las clases de la profe Nancy.  Fiter Adrogué.,Adrogue,03-2024,Promotor
8787,114432303726,2023-10-09,5,"Gimnasio completo, materiales y limpieza en excelentes condiciones.  La profesora de salón es una excelente profesional con hermosa calidad humana",Adrogue,10-2023,Promotor
8788,114432321739,2023-10-09,5,Los profes Nahuel y Martin son super atentos a los seguimientos. Por otro lado las instalaciones son muy buenas.,Adrogue,10-2023,Promotor
8790,118439805716,2023-10-10,4,"Espacios grandes, muchas máquinas y elementos para entrenarse, está limpio y ordenado",Nuñez,10-2023,Promotor
8794,114552347983,2024-03-13,5,Muy buena la atención ,Microcentro,03-2024,Promotor
8795,114432323245,2023-10-09,5,Lo recomendaría por el precio y la calidad de las clases,Barrio Norte,10-2023,Promotor
8796,114435704969,2023-10-12,5,Excelente grupo y todo impecable 👌  Muchas gracias ,Microcentro,10-2023,Promotor
